"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252161528","Gymnomitrion concinnatum","Herbarium record",1967-09-11,"1967","49.666667","-125.333333"
"2252157746","Gymnomitrion concinnatum","Herbarium record",1979-09-06,"1979","52.08333","-118.66667"
"2005598297","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","50.052583","-122.947302"
"2005598187","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","49.840138","-123.14176"
"2005612995","Gymnomitrion concinnatum","Herbarium record",1925-08-04,"1925","51.333333","-116.333333"
"2005598149","Gymnomitrion concinnatum","Herbarium record",1961-06-20,"1961","49.397528","-122.926591"
"4076829307","Gymnomitrion concinnatum","Herbarium record",1974-08-21,"1974","51.046944","-118.139166"
"2028168647","Gymnomitrion concinnatum","Herbarium record",1994-06-26,"1994","53.266667","-132.216667"
"2028226899","Gymnomitrion concinnatum","Herbarium record",1994-06-26,"1994","53.266667","-132.216667"
"2028228438","Gymnomitrion concinnatum","Herbarium record",1986-09-13,"1986","49.416667","-121.166667"
"2028160786","Gymnomitrion concinnatum","Herbarium record",1981-07-17,"1981","58.333333","-129.5"
"2028186564","Gymnomitrion concinnatum","Herbarium record",1981-07-18,"1981","58.333333","-129.5"
"1804396701","Gymnomitrion concinnatum","Herbarium record",1969-08-18,"1969","49.333011","-122.9679956"
"1804559032","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","50.09971","-123.1680195"
"1804587248","Gymnomitrion concinnatum","Herbarium record",1977-07-21,"1977","59.6664153","-131.3015942"
"1804413216","Gymnomitrion concinnatum","Herbarium record",1977-07-31,"1977","57.6497381","-126.7343644"
"5076393827","Gymnomitrion concinnatum","Herbarium record",1968-08-01,"1968","58.883504","-134.2769"
"2266060968","Gymnomitrion concinnatum","Herbarium record",1977-07-21,"1977","59.666667","-131.3"
"2005598310","Gymnomitrion concinnatum","Herbarium record",1974-09-15,"1974","49.366667","-122.947778"
"4851109298","Gymnomitrion concinnatum","Herbarium record",1969-08-01,"1969","49.1","-117.716667"
"4851117669","Gymnomitrion concinnatum","Herbarium record",1979-09-06,"1979","52.0833","-118.6667"
"1987933573","Gymnomitrion concinnatum","Herbarium record",1980-08-18,"1980","50.0","-123.1"
"1987924671","Gymnomitrion concinnatum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987881309","Gymnomitrion concinnatum","Herbarium record",1974-09-01,"1974","50.5","-123.6"
"1987805683","Gymnomitrion concinnatum","Herbarium record",1980-06-19,"1980","49.4","-123.2"
"1987778726","Gymnomitrion concinnatum","Herbarium record",1980-08-06,"1980","49.4","-123.0"
"1987774402","Gymnomitrion concinnatum","Herbarium record",1992-07-28,"1992","59.7","-136.6"
"1987749831","Gymnomitrion concinnatum","Herbarium record",1960-09-02,"1960","49.4","-123.0"
"1987720377","Gymnomitrion concinnatum","Herbarium record",1976-09-23,"1976","49.8","-123.0"
"1987924701","Gymnomitrion concinnatum","Herbarium record",1973-10-28,"1973","49.4","-123.0"
"1987886708","Gymnomitrion concinnatum","Herbarium record",1967-09-11,"1967","49.7","-125.3"
"1987814991","Gymnomitrion concinnatum","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987757737","Gymnomitrion concinnatum","Herbarium record",1974-08-31,"1974","50.5","-123.6"
"1987750259","Gymnomitrion concinnatum","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987729128","Gymnomitrion concinnatum","Herbarium record",1984-08-09,"1984","50.2","-127.7"
"1987911632","Gymnomitrion concinnatum","Herbarium record",1969-10-05,"1969","48.9","-124.2"
"1987876021","Gymnomitrion concinnatum","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987854633","Gymnomitrion concinnatum","Herbarium record",2013-08-15,"2013","56.166","-130.05"
"1987841911","Gymnomitrion concinnatum","Herbarium record",1966-09-04,"1966","49.7","-122.1"
"1987808168","Gymnomitrion concinnatum","Herbarium record",1967-09-16,"1967","53.3","-127.3"
"1987799062","Gymnomitrion concinnatum","Herbarium record",1980-08-06,"1980","49.4","-123.0"
"1987783224","Gymnomitrion concinnatum","Herbarium record",1974-09-02,"1974","50.5","-123.6"
"1987775691","Gymnomitrion concinnatum","Herbarium record",1974-08-31,"1974","50.5","-123.6"
