"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805292322","Mannia gracilis","Herbarium record",1893-05-09,"1893","48.433333","-123.35"
"1805301976","Mannia gracilis","Herbarium record",1901-07-12,"1901","49.166667","-121.95"
"1805302246","Mannia gracilis","Herbarium record",1887-05-09,"1887","48.828813","-123.5"
"3416727316","Mannia gracilis","Herbarium record",1970-09-13,"1970","50.1","-122.833333"
"2005596357","Mannia gracilis","Herbarium record",1925-05-07,"1925","50.033333","-117.41111"
"2005596135","Mannia gracilis","Herbarium record",1925-09-10,"1925","49.983333","-117.366667"
"1804467288","Mannia gracilis","Herbarium record",1889-05-08,"1889","49.2330229","-121.7679613"
"2005596251","Mannia gracilis","Herbarium record",1926-06-28,"1926","49.976072","-117.226936"
"1987855042","Mannia gracilis","Herbarium record",1980-08-20,"1980","49.4","-123.0"
"1987735982","Mannia gracilis","Herbarium record",1984-06-09,"1984","49.7","-116.9"
"1987905347","Mannia gracilis","Herbarium record",2016-07-20,"2016","51.7001","-116.635"
"1987829095","Mannia gracilis","Herbarium record",2005-04-19,"2005","50.0","-127.42"
"1987735078","Mannia gracilis","Herbarium record",2011-05-31,"2011","51.9","-120.0"
"4513889509","Mannia gracilis","Herbarium record",1977-05-13,"1977","49.2","-117.0"
"1987923601","Mannia gracilis","Herbarium record",1978-07-23,"1978","50.0","-117.1"
"1987864728","Mannia gracilis","Herbarium record",1981-07-22,"1981","58.3","-129.5"
"1987812823","Mannia gracilis","Herbarium record",1992-07-26,"1992","59.9","-137.8"
"1987794775","Mannia gracilis","Herbarium record",1981-08-08,"1981","49.2","-121.7"
"1987791207","Mannia gracilis","Herbarium record",1974-06-12,"1974","49.2","-121.9"
"5060626301","Mannia gracilis","Herbarium record",2024-05-12,"2024","49.068889","-123.948333"
"1987825078","Mannia gracilis","Herbarium record",1992-07-23,"1992","59.6","-137.2"
"1987803367","Mannia gracilis","Herbarium record",1985-05-12,"1985","49.3","-121.1"
"1987800411","Mannia gracilis","Herbarium record",1964-07-31,"1964","53.0","-132.1"
"1987737373","Mannia gracilis","Herbarium record",1984-04-01,"1984","49.7","-121.4"
"1987724852","Mannia gracilis","Herbarium record",1977-07-22,"1977","50.0","-117.3"
"3415870508","Mannia gracilis","iNat record",2021-03-13,"2021","48.69785","-124.215623"
"4519127821","Mannia gracilis","iNat record",2024-01-30,"2024","48.455755","-123.482338"
"3097156605","Mannia gracilis","iNat record",2021-04-15,"2021","48.870578","-123.380881"
"3113659762","Mannia gracilis","iNat record",2021-05-09,"2021","49.028036","-123.818428"
"4431109014","Mannia gracilis","iNat record",2023-10-15,"2023","48.697739","-124.215698"
"3097070012","Mannia gracilis","iNat record",2021-04-17,"2021","48.697868","-124.215576"
"3097243487","Mannia gracilis","iNat record",2021-04-21,"2021","49.637051","-125.11217"
"5140253118","Mannia gracilis","iNat record",2025-04-20,"2025","48.653704","-123.729201"
"3759538072","Mannia gracilis","iNat record",2022-03-25,"2022","48.455532","-123.482399"
"4600194899","Mannia gracilis","iNat record",2024-03-24,"2024","49.291513","-124.767723"
"4978442026","Mannia gracilis","iNat record",2024-11-01,"2024","48.457209","-123.327026"
"5134372686","Mannia gracilis","iNat record",2025-04-19,"2025","48.457446","-123.480803"
"5140108570","Mannia gracilis","iNat record",2025-04-23,"2025","48.569563","-123.535004"
"3079902677","Mannia gracilis","iNat record",2021-04-04,"2021","48.413925","-123.755783"
"4138702958","Mannia gracilis","iNat record",2023-06-24,"2023","49.733164","-122.908822"
"3307426705","Mannia gracilis","iNat record",2021-04-26,"2021","49.251057","-124.945709"
"4430649110","Mannia gracilis","iNat record",2023-10-15,"2023","48.697739","-124.215698"
"4528285286","Mannia gracilis","iNat record",2024-02-22,"2024","50.202606","-125.185516"
"4062630501","Mannia gracilis","iNat record",2023-01-05,"2023","48.653557","-123.729034"
"4430899344","Mannia gracilis","iNat record",2019-03-30,"2019","49.645823","-125.10832"
"3705540720","Mannia gracilis","iNat record",2022-02-26,"2022","48.466228","-123.542679"
"5140342846","Mannia gracilis","iNat record",2025-04-25,"2025","49.06289","-122.212174"
"4431129039","Mannia gracilis","iNat record",2023-10-15,"2023","48.697739","-124.215698"
"3325590797","Mannia gracilis","iNat record",2021-07-02,"2021","48.777745","-123.922705"
"4430626142","Mannia gracilis","iNat record",2023-10-15,"2023","48.697739","-124.215698"
"3097092568","Mannia gracilis","iNat record",2021-04-09,"2021","49.069795","-123.946415"
"4867645928","Mannia gracilis","iNat record",2024-05-12,"2024","49.070493","-123.94833"
"3764502806","Mannia gracilis","iNat record",2022-04-22,"2022","49.565468","-121.395935"
"3858343993","Mannia gracilis","iNat record",2022-05-25,"2022","49.046234","-119.559151"
"3415409603","Mannia gracilis","iNat record",2021-04-19,"2021","48.839115","-124.197357"
"3415819566","Mannia gracilis","iNat record",2021-03-13,"2021","48.69785","-124.215623"
"3859456938","Mannia gracilis","iNat record",2022-05-25,"2022","49.045891","-119.558914"
"5167574387","Mannia gracilis","iNat record",2025-05-13,"2025","49.192368","-121.869926"
"3859571560","Mannia gracilis","iNat record",2022-05-21,"2022","49.213953","-121.080268"
"5134267782","Mannia gracilis","iNat record",2025-04-18,"2025","48.54135","-123.532683"
"3902499879","Mannia gracilis","iNat record",2022-07-23,"2022","50.718914","-123.66244"
"4978288040","Mannia gracilis","iNat record",2024-11-01,"2024","48.457264","-123.326881"
"3455304744","Mannia gracilis","iNat record",2012-05-11,"2012","48.465387","-123.542318"
"3772718546","Mannia gracilis","iNat record",2022-04-09,"2022","48.466147","-123.54491"
"3325692689","Mannia gracilis","iNat record",2021-05-04,"2021","50.140858","-126.038377"
