"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805288109","Hymenoloma crispulum","Herbarium record",,"1885","50.653853","-117.371221"
"2252147244","Hymenoloma crispulum","Herbarium record",1954-07-28,"1954","51.25","-118.166667"
"2252148878","Hymenoloma crispulum","Herbarium record",1963-08-13,"1963","48.464553","-123.469341"
"1807251327","Hymenoloma crispulum","Herbarium record",1931-07-27,"1931","51.183333","-116.11667"
"2005536436","Hymenoloma crispulum","Herbarium record",1926-05-22,"1926","49.975556","-117.227222"
"2005536624","Hymenoloma crispulum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2005536584","Hymenoloma crispulum","Herbarium record",,"1925","53.116667","-119.133333"
"4076827242","Hymenoloma crispulum","Herbarium record",1911-06-30,"1911","53.324533","-125.838017"
"4076828360","Hymenoloma crispulum","Herbarium record",1977-07-25,"1977","57.43208","-126.724976"
"2028235922","Hymenoloma crispulum","Herbarium record",,"1971","49.683333","-125.616667"
"2028215637","Hymenoloma crispulum","Herbarium record",1971-09-01,"1971","49.25","-125.233333"
"2028269421","Hymenoloma crispulum","Herbarium record",1971-09-01,"1971","49.25","-125.233333"
"2028309730","Hymenoloma crispulum","Herbarium record",1976-05-20,"1976","49.25","-118.083333"
"2028210018","Hymenoloma crispulum","Herbarium record",1986-08-15,"1986","54.583333","-130.25"
"2028153165","Hymenoloma crispulum","Herbarium record",,"1971","49.683333","-125.616667"
"2028261597","Hymenoloma crispulum","Herbarium record",1977-07-23,"1977","56.533333","-126.45"
"1804463804","Hymenoloma crispulum","Herbarium record",1885-08-10,"1885","55.45","-129.483"
"1804442265","Hymenoloma crispulum","Herbarium record",1969-08-20,"1969","50.1","-123.167"
"5076399632","Hymenoloma crispulum","Herbarium record",1968-07-19,"1968","58.883504","-134.2769"
"5076399769","Hymenoloma crispulum","Herbarium record",1977-07-21,"1977","59.666667","-131.266667"
"5076399771","Hymenoloma crispulum","Herbarium record",1890-05-29,"1890","51.142","-117.85"
"5076399772","Hymenoloma crispulum","Herbarium record",1928-06-03,"1928","49.846667","-115.443611"
"5076399773","Hymenoloma crispulum","Herbarium record",,"1885","50.0","-117.0"
"5076399802","Hymenoloma crispulum","Herbarium record",1977-07-31,"1977","57.65","-126.733333"
"2266053067","Hymenoloma crispulum","Herbarium record",1949-08-22,"1949","58.75","-133.83333"
"4052482391","Hymenoloma crispulum","Herbarium record",1961-06-24,"1961","52.0","-120.0"
"4052482401","Hymenoloma crispulum","Herbarium record",1961-07-22,"1961","52.0","-120.0"
"4052482413","Hymenoloma crispulum","Herbarium record",1961-07-23,"1961","52.0","-120.0"
"4052482419","Hymenoloma crispulum","Herbarium record",1961-07-23,"1961","52.0","-120.0"
"4052482347","Hymenoloma crispulum","Herbarium record",1961-06-26,"1961","52.0","-120.0"
"4052482399","Hymenoloma crispulum","Herbarium record",1972-08-24,"1972","51.345833","-116.341666"
"4052482404","Hymenoloma crispulum","Herbarium record",1972-08-24,"1972","51.345833","-116.341666"
"4052482406","Hymenoloma crispulum","Herbarium record",1977-07-25,"1977","58.2","-124.516666"
"4052482373","Hymenoloma crispulum","Herbarium record",1977-07-23,"1977","56.533333","-126.45"
"332945464","Hymenoloma crispulum","Herbarium record",1918-05-29,"1918","53.15","-121.483333"
"332945462","Hymenoloma crispulum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"4849647639","Hymenoloma crispulum","Herbarium record",1969-08-29,"1969","50.1","-123.166667"
"4849647652","Hymenoloma crispulum","Herbarium record",1969-08-18,"1969","49.333333","-122.966667"
"4849647654","Hymenoloma crispulum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2005536478","Hymenoloma crispulum","Herbarium record",1928-07-19,"1928","50.533333","-116.06667"
"1949668238","Hymenoloma crispulum","Herbarium record",1977-09-07,"1977","49.783333","-115.816667"
"1949668270","Hymenoloma crispulum","Herbarium record",1977-08-02,"1977","49.133333","-115.783333"
"1949668098","Hymenoloma crispulum","Herbarium record",1977-08-05,"1977","49.383333","-123.366667"
"1211196092","Hymenoloma crispulum","Herbarium record",1904-09-02,"1904","51.492169","-116.478408"
"92586280","Hymenoloma crispulum","OCCURRENCE",1965-08-15,"1965","52.5","-125.85"
"1994031130","Hymenoloma crispulum","Herbarium record",1960-08-13,"1960","48.464553","-123.469341"
"1994031095","Hymenoloma crispulum","Herbarium record",1960-08-12,"1960","48.412571","-123.363089"
"1987930900","Hymenoloma crispulum","Herbarium record",2001-08-17,"2001","50.3","-123.5"
"1987816796","Hymenoloma crispulum","Herbarium record",1959-09-11,"1959","49.4","-123.0"
"1987814849","Hymenoloma crispulum","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987805059","Hymenoloma crispulum","Herbarium record",1954-07-28,"1954","51.3","-118.2"
"1987799575","Hymenoloma crispulum","Herbarium record",1970-07-12,"1970","58.8","-124.8"
"1987738789","Hymenoloma crispulum","Herbarium record",2013-07-03,"2013","50.47","-120.55"
"1987911930","Hymenoloma crispulum","Herbarium record",1982-08-19,"1982","49.7","-125.6"
"1987878200","Hymenoloma crispulum","Herbarium record",1983-07-29,"1983","49.6","-125.7"
"1987863579","Hymenoloma crispulum","Herbarium record",1977-07-15,"1977","49.8","-117.2"
"1987831473","Hymenoloma crispulum","Herbarium record",1977-07-18,"1977","50.1","-117.7"
"1987808972","Hymenoloma crispulum","Herbarium record",1960-08-13,"1960","48.5","-123.5"
"1987797965","Hymenoloma crispulum","Herbarium record",,"2003","56.78811","-130.3801"
"1987780000","Hymenoloma crispulum","Herbarium record",2013-07-08,"2013","50.095419","-125.036764"
"1987919173","Hymenoloma crispulum","Herbarium record",1974-09-14,"1974","49.1","-121.6"
"1987916047","Hymenoloma crispulum","Herbarium record",1974-08-13,"1974","53.2","-121.5"
"1987899430","Hymenoloma crispulum","Herbarium record",1976-05-19,"1976","49.2","-117.3"
"1987884258","Hymenoloma crispulum","Herbarium record",1971-07-20,"1971","53.3","-120.1"
"1987874089","Hymenoloma crispulum","Herbarium record",,"1976","59.0","-133.0"
"1987840940","Hymenoloma crispulum","Herbarium record",1977-07-20,"1977","59.3","-131.2"
"1987829354","Hymenoloma crispulum","Herbarium record",1977-07-20,"1977","56.6","-126.4"
"1987816905","Hymenoloma crispulum","Herbarium record",1976-05-18,"1976","51.0","-118.3"
"1987801998","Hymenoloma crispulum","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987913863","Hymenoloma crispulum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987904650","Hymenoloma crispulum","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987886018","Hymenoloma crispulum","Herbarium record",1959-07-27,"1959","50.0","-117.9"
"1987837925","Hymenoloma crispulum","Herbarium record",1980-09-03,"1980","50.1","-122.8"
"1987821873","Hymenoloma crispulum","Herbarium record",1976-05-20,"1976","49.3","-118.1"
"1987758577","Hymenoloma crispulum","Herbarium record",1992-07-21,"1992","59.6","-137.7"
"1987729487","Hymenoloma crispulum","Herbarium record",1992-07-23,"1992","59.6","-137.2"
"1987720485","Hymenoloma crispulum","Herbarium record",1982-07-18,"1982","49.1","-121.8"
"1987933490","Hymenoloma crispulum","Herbarium record",1971-07-19,"1971","53.3","-120.0"
"1987825215","Hymenoloma crispulum","Herbarium record",1967-09-16,"1967","50.1","-122.8"
"1987807358","Hymenoloma crispulum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987790606","Hymenoloma crispulum","Herbarium record",1976-07-10,"1976","49.7","-117.2"
"1987788675","Hymenoloma crispulum","Herbarium record",1965-08-24,"1965","49.8","-123.1"
"4513899249","Hymenoloma crispulum","Herbarium record",1977-07-20,"1977","59.25","-131.233333"
"1987893101","Hymenoloma crispulum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987855267","Hymenoloma crispulum","Herbarium record",1974-07-22,"1974","54.8","-127.3"
"1987845958","Hymenoloma crispulum","Herbarium record",1977-07-24,"1977","49.8","-117.2"
"1987822365","Hymenoloma crispulum","Herbarium record",1974-07-21,"1974","54.8","-127.3"
"1987815170","Hymenoloma crispulum","Herbarium record",2007-05-15,"2007","52.7","-119.3"
"1987801103","Hymenoloma crispulum","Herbarium record",1992-07-27,"1992","59.5","-137.8"
"1987746001","Hymenoloma crispulum","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987908422","Hymenoloma crispulum","Herbarium record",1965-10-09,"1965","49.4","-123.0"
"1987905795","Hymenoloma crispulum","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"1987894306","Hymenoloma crispulum","Herbarium record",2002-08-12,"2002","54.99778","-126.943298"
"1987891129","Hymenoloma crispulum","Herbarium record",1977-08-07,"1977","49.2","-117.1"
"1987884515","Hymenoloma crispulum","Herbarium record",1972-08-15,"1972","52.8","-125.3"
"1987867901","Hymenoloma crispulum","Herbarium record",1984-09-09,"1984","49.1","-120.7"
"1987849491","Hymenoloma crispulum","Herbarium record",1964-07-30,"1964","54.6","-127.7"
"1987814358","Hymenoloma crispulum","Herbarium record",1974-07-18,"1974","55.1","-127.5"
"1987811449","Hymenoloma crispulum","Herbarium record",1973-09-16,"1973","49.4","-122.9"
"1987773673","Hymenoloma crispulum","Herbarium record",1974-07-06,"1974","59.0","-133.0"
"1987752659","Hymenoloma crispulum","Herbarium record",1995-10-05,"1995","51.9","-120.0"
"1987727681","Hymenoloma crispulum","Herbarium record",1976-07-12,"1976","49.8","-117.2"
"1987907842","Hymenoloma crispulum","Herbarium record",1977-07-13,"1977","49.8","-117.3"
"1987891320","Hymenoloma crispulum","Herbarium record",2014-03-22,"2014","50.0","-127.42"
"1987876334","Hymenoloma crispulum","Herbarium record",,"1966","49.7","-121.9"
"1987874622","Hymenoloma crispulum","Herbarium record",1980-08-02,"1980","49.4","-119.9"
"1987870363","Hymenoloma crispulum","Herbarium record",1961-06-20,"1961","49.4","-123.0"
"1987807031","Hymenoloma crispulum","Herbarium record",1992-07-23,"1992","59.6","-137.2"
"1987778098","Hymenoloma crispulum","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987754018","Hymenoloma crispulum","Herbarium record",1976-07-10,"1976","49.7","-117.2"
"1987906044","Hymenoloma crispulum","Herbarium record",1986-09-13,"1986","49.7","-121.1"
"1987886796","Hymenoloma crispulum","Herbarium record",1977-07-20,"1977","59.7","-131.5"
"1987874959","Hymenoloma crispulum","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"1987804533","Hymenoloma crispulum","Herbarium record",2007-07-31,"2007","58.646358","-124.637199"
"1987785555","Hymenoloma crispulum","Herbarium record",1977-08-20,"1977","50.7","-116.5"
"1987747200","Hymenoloma crispulum","Herbarium record",,"1926","50.0","-117.4"
"1987742254","Hymenoloma crispulum","Herbarium record",1977-07-16,"1977","53.7","-121.8"
"1987929963","Hymenoloma crispulum","Herbarium record",1978-07-17,"1978","50.3","-117.1"
"1987918222","Hymenoloma crispulum","Herbarium record",1977-08-23,"1977","51.3","-117.6"
"1987913538","Hymenoloma crispulum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987873944","Hymenoloma crispulum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987863244","Hymenoloma crispulum","Herbarium record",1962-09-08,"1962","49.4","-123.0"
"1987837045","Hymenoloma crispulum","Herbarium record",,"1959","57.1","-127.5"
"1987833028","Hymenoloma crispulum","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987902730","Hymenoloma crispulum","Herbarium record",1967-09-16,"1967","50.1","-122.8"
"1987897177","Hymenoloma crispulum","Herbarium record",1955-06-28,"1955","51.2","-116.1"
"1987888503","Hymenoloma crispulum","Herbarium record",2014-08-23,"2014","50.12","-122.95"
"1987836278","Hymenoloma crispulum","Herbarium record",1961-07-22,"1961","51.9","-119.9"
"1987829169","Hymenoloma crispulum","Herbarium record",2012-04-28,"2012","51.92","-120.2"
"1987829758","Hymenoloma crispulum","Herbarium record",1975-07-11,"1975","59.0","-133.0"
"1987826380","Hymenoloma crispulum","Herbarium record",1962-05-02,"1962","49.4","-120.6"
"1987797335","Hymenoloma crispulum","Herbarium record",1992-07-22,"1992","59.7","-137.8"
"1987889164","Hymenoloma crispulum","Herbarium record",1992-07-22,"1992","59.7","-137.8"
"1987848866","Hymenoloma crispulum","Herbarium record",1981-07-06,"1981","51.8","-119.8"
"1987816836","Hymenoloma crispulum","Herbarium record",1964-07-21,"1964","54.6","-127.7"
"1987804162","Hymenoloma crispulum","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987804337","Hymenoloma crispulum","Herbarium record",2005-08-02,"2005","57.725811","-130.179901"
"1987789695","Hymenoloma crispulum","Herbarium record",1964-08-31,"1964","49.1","-116.5"
"1987777660","Hymenoloma crispulum","Herbarium record",1961-07-23,"1961","52.0","-120.0"
"1987748515","Hymenoloma crispulum","Herbarium record",1981-07-22,"1981","58.3","-129.5"
"1987744900","Hymenoloma crispulum","Herbarium record",1975-08-01,"1975","59.0","-133.0"
"1987743883","Hymenoloma crispulum","Herbarium record",1976-07-30,"1976","49.1","-117.0"
"1987718632","Hymenoloma crispulum","Herbarium record",1980-09-03,"1980","50.1","-122.8"
"1987894614","Hymenoloma crispulum","Herbarium record",1977-08-13,"1977","49.8","-116.2"
"1987889856","Hymenoloma crispulum","Herbarium record",1976-07-10,"1976","49.7","-117.2"
"1987884455","Hymenoloma crispulum","Herbarium record",2015-07-30,"2015","51.5647","-117.5741"
"1987880001","Hymenoloma crispulum","Herbarium record",1978-07-17,"1978","50.3","-117.1"
"3399280334","Hymenoloma crispulum","iNat record",2021-07-30,"2021","52.859889","-118.911056"
"3986279218","Hymenoloma crispulum","iNat record",2022-07-14,"2022","52.584011","-125.843765"
"3915625136","Hymenoloma crispulum","iNat record",2022-09-25,"2022","48.412095","-123.346078"
"4512252834","Hymenoloma crispulum","iNat record",2024-01-09,"2024","49.336727","-123.260986"
"4852089477","Hymenoloma crispulum","iNat record",2024-04-23,"2024","50.129922","-125.131742"
"3759345372","Hymenoloma crispulum","iNat record",2022-03-30,"2022","48.426972","-123.33618"
"4950376333","Hymenoloma crispulum","iNat record",2024-07-13,"2024","59.769424","-136.664795"
"3499380584","Hymenoloma crispulum","iNat record",2022-02-06,"2022","49.069782","-123.949142"
"2013024668","Hymenoloma crispulum","iNat record",2015-04-04,"2015","48.931784","-123.482723"
"2012951327","Hymenoloma crispulum","iNat record",2019-01-17,"2019","48.822199","-123.262705"
"4096605441","Hymenoloma crispulum","iNat record",2020-06-25,"2020","49.83903","-120.313043"
"4512153705","Hymenoloma crispulum","iNat record",2023-06-24,"2023","49.730989","-122.897439"
"4512317208","Hymenoloma crispulum","iNat record",2024-01-09,"2024","49.336727","-123.260986"
"4946632035","Hymenoloma crispulum","iNat record",2024-07-11,"2024","59.553368","-137.180923"
"4946642610","Hymenoloma crispulum","iNat record",2024-07-12,"2024","59.937897","-137.062302"
"4952765651","Hymenoloma crispulum","iNat record",2024-09-08,"2024","49.083843","-123.708725"
"3985834284","Hymenoloma crispulum","iNat record",2022-07-14,"2022","52.583556","-125.843449"
"3759325521","Hymenoloma crispulum","iNat record",2022-04-01,"2022","48.572029","-123.462288"
"2992796470","Hymenoloma crispulum","iNat record",2020-07-26,"2020","49.717377","-125.387366"
"4458781421","Hymenoloma crispulum","iNat record",2023-08-07,"2023","59.711498","-136.627625"
"4430378054","Hymenoloma crispulum","iNat record",2022-08-22,"2022","49.760113","-117.649704"
"3499390538","Hymenoloma crispulum","iNat record",2022-02-06,"2022","49.069359","-123.949112"
"4925890301","Hymenoloma crispulum","iNat record",2024-07-06,"2024","49.198952","-120.992065"
"3466192352","Hymenoloma crispulum","iNat record",2021-07-27,"2021","52.438694","-119.75375"
"4872504029","Hymenoloma crispulum","iNat record",2023-07-17,"2023","51.195239","-117.111389"
"2850528177","Hymenoloma crispulum","iNat record",2020-07-28,"2020","49.705178","-125.324598"
"4512268830","Hymenoloma crispulum","iNat record",2024-01-09,"2024","49.336727","-123.260986"
"3742973459","Hymenoloma crispulum","iNat record",2022-03-08,"2022","49.336376","-123.261177"
"3988473978","Hymenoloma crispulum","iNat record",2022-07-28,"2022","50.119","-123.1225"
"5292383422","Hymenoloma crispulum","iNat record",2024-06-19,"2024","57.087004","-122.891347"
"4535943067","Hymenoloma crispulum","iNat record",2024-02-16,"2024","48.822773","-123.608627"
"3307304259","Hymenoloma crispulum","iNat record",2021-06-03,"2021","50.10779","-125.031415"
"4103192773","Hymenoloma crispulum","iNat record",2022-07-31,"2022","50.598095","-122.302503"
"4872220259","Hymenoloma crispulum","iNat record",2023-07-17,"2023","51.195239","-117.111389"
"3873796549","Hymenoloma crispulum","iNat record",2022-07-15,"2022","52.586792","-125.843719"
"3468789838","Hymenoloma crispulum","iNat record",2022-02-05,"2022","49.115098","-123.80516"
"4946651437","Hymenoloma crispulum","iNat record",2024-07-10,"2024","59.59539","-136.482208"
"4171838026","Hymenoloma crispulum","iNat record",2023-08-03,"2023","50.060343","-122.960065"
"3858825894","Hymenoloma crispulum","iNat record",2022-06-07,"2022","49.149913","-124.051192"
"3499340628","Hymenoloma crispulum","iNat record",2022-02-06,"2022","49.069359","-123.949112"
"4129818618","Hymenoloma crispulum","iNat record",2023-05-18,"2023","51.965605","-120.128934"
"4945735789","Hymenoloma crispulum","iNat record",2024-07-11,"2024","59.552861","-137.180414"
"2850939049","Hymenoloma crispulum","iNat record",2020-07-28,"2020","49.70511","-125.324135"
"4910647981","Hymenoloma crispulum","iNat record",2024-07-12,"2024","59.938667","-137.062057"
"3468843139","Hymenoloma crispulum","iNat record",2022-02-06,"2022","49.069969","-123.949158"
"3468686963","Hymenoloma crispulum","iNat record",2022-02-06,"2022","49.069447","-123.949185"
"4512195068","Hymenoloma crispulum","iNat record",2024-01-09,"2024","49.335783","-123.261227"
"3915535668","Hymenoloma crispulum","iNat record",2022-08-02,"2022","50.149223","-118.985435"
"2963887419","Hymenoloma crispulum","iNat record",2020-07-28,"2020","49.70511","-125.324135"
"4945784617","Hymenoloma crispulum","iNat record",2024-07-10,"2024","59.671903","-136.565"
"4946651435","Hymenoloma crispulum","iNat record",2024-07-10,"2024","59.600998","-136.496872"
"4510421803","Hymenoloma crispulum","iNat record",2024-01-06,"2024","49.107849","-122.180183"
"4993878533","Hymenoloma crispulum","iNat record",2024-07-11,"2024","59.552861","-137.180414"
"3764320384","Hymenoloma crispulum","iNat record",2021-05-24,"2021","49.116447","-119.676972"
"3873754277","Hymenoloma crispulum","iNat record",2022-07-15,"2022","52.544072","-125.872245"
"4851996705","Hymenoloma crispulum","iNat record",2024-04-23,"2024","50.129841","-125.131752"
"3860363978","Hymenoloma crispulum","iNat record",2022-05-29,"2022","50.128588","-124.986235"
"3772836689","Hymenoloma crispulum","iNat record",2022-05-12,"2022","48.50247","-123.357216"
"4946527295","Hymenoloma crispulum","iNat record",2024-07-10,"2024","59.601547","-136.496414"
"4910784144","Hymenoloma crispulum","iNat record",2024-07-10,"2024","59.601955","-136.497971"
