"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005560871","Polytrichastrum sexangulare","Herbarium record",1925-07-21,"1925","49.958333","-117.5"
"2005560921","Polytrichastrum sexangulare","Herbarium record",1971-09-19,"1971","50.059181","-122.95695"
"4076842187","Polytrichastrum sexangulare","Herbarium record",1966-09-03,"1966","49.896543","-123.006368"
"4076842232","Polytrichastrum sexangulare","Herbarium record",1969-08-21,"1969","50.059751","-122.95767"
"2028243941","Polytrichastrum sexangulare","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"2028267379","Polytrichastrum sexangulare","Herbarium record",,"1971","49.683333","-125.616667"
"2028155245","Polytrichastrum sexangulare","Herbarium record",1980-08-23,"1980","50.0","-123.0"
"2028314254","Polytrichastrum sexangulare","Herbarium record",1985-08-16,"1985","53.0","-132.0"
"2028224987","Polytrichastrum sexangulare","Herbarium record",1971-09-01,"1971","49.25","-125.233333"
"2028197049","Polytrichastrum sexangulare","Herbarium record",1986-09-13,"1986","49.416667","-121.166667"
"1804424288","Polytrichastrum sexangulare","Herbarium record",1977-07-31,"1977","57.6667","-126.75"
"3864940443","Polytrichastrum sexangulare","Herbarium record",1905-07-26,"1905","51.75","-118.333333"
"3864940453","Polytrichastrum sexangulare","Herbarium record",1905-07-26,"1905","51.75","-118.333333"
"5076420644","Polytrichastrum sexangulare","Herbarium record",,"1889","51.06","-118.52"
"332960336","Polytrichastrum sexangulare","Herbarium record",1961-09-07,"1961","49.4","-122.95"
"3916081995","Polytrichastrum sexangulare","Herbarium record",1905-07-26,"1905","51.75","-118.33333"
"1987880298","Polytrichastrum sexangulare","Herbarium record",,"1981","50.1","-122.3"
"1987827988","Polytrichastrum sexangulare","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987811625","Polytrichastrum sexangulare","Herbarium record",,"1980","50.1","-122.3"
"1987799620","Polytrichastrum sexangulare","Herbarium record",2013-07-27,"2013","50.068","-122.945"
